enable,matchrule,match_from,dow,tod_from,tod_to,valid_from,valid_to,responder,parameter,to_scheme,to_user,to_host,from_name,from_user,from_host,dialplan,domain,plan_description
yes,*,*,*,*,*,*,*,<Forward Blocking>,,[*],[*],[*],[*],[*],[*],Cloud PBX Features,admin-only,Chain to forward blocking
yes,sip:%23*@*,*,*,*,*,*,*,<Cloud PBX Features>,,sip:,#[!!!*],[*],[*],[*],[*],Cloud PBX Features,admin-only,Webphone pound dial
yes,sip:*.video.bridge@conference-bridge,*,*,*,*,*,*,sip:start@to-owned-device,,sip:,[*],[*],[*],[*],[*],Cloud PBX Features,admin-only,video bridge audio
yes,sip:*@*,sip:adhoc.monitor.*@conference-bridge,*,*,*,*,*,sip:start@to-user,,sip:,[*],[*],[*],[*],[*],Cloud PBX Features,admin-only,Call monitor
yes,sip:03[0-9][0-9][0-9]@*,*,*,*,*,*,*,Residential VMail,,sip:,[!!*],<OwnDomain>,[*],[*],[*],Cloud PBX Features,admin-only,Transfer to VM (3 digit extension)
yes,sip:03[0-9][0-9][0-9][0-9]@*,*,*,*,*,*,*,Residential VMail,,sip:,[!!*],<OwnDomain>,[*],[*],[*],Cloud PBX Features,admin-only,Transfer to VM (4 digit extension)
yes,sip:07[0-9][0-9][0-9]@*,*,*,*,*,*,*,Call-Pickup,,sip:,[!!*],<OwnDomain>,[*],[*],<OwnDomain>,Cloud PBX Features,admin-only,Directed Call Pickup (3 digit extension)
yes,sip:07[0-9][0-9][0-9][0-9]@*,*,*,*,*,*,*,Call-Pickup,,sip:,[!!*],<OwnDomain>,[*],[*],<OwnDomain>,Cloud PBX Features,admin-only,Directed Call Pickup (4 digit extension)
yes,sip:08[0-9][0-9][0-9]@*,*,*,*,*,*,*,sip:auto@to-device,,sip:,[!!*],<OwnDomain>,[*],[*],<OwnDomain>,Cloud PBX Features,admin-only,Intercom Auto Answer (3 digit extension)
yes,sip:08[0-9][0-9][0-9][0-9]@*,*,*,*,*,*,*,sip:auto@to-device,,sip:,[!!*],<OwnDomain>,[*],[*],<OwnDomain>,Cloud PBX Features,admin-only,Intercom Auto Answer (4 digit extension)
yes,sip:5000@*,*,*,*,*,*,*,sip:vmail-unreg@nms.netsapiens.com,,sip:,vmail-unreg,<OwnDomain>,<OwnName>,<OwnUser>,<OwnDomain>,Cloud PBX Features,admin-only,Voice Mail - Extension and Password
yes,sip:5001@*,*,*,*,*,*,*,sip:vmail@nms.netsapiens.com,,sip:,vmail,<OwnDomain>,<OwnName>,<OwnUser>,<OwnDomain>,Cloud PBX Features,admin-only,Voice Mail - Extension and Password
yes,sip:911@*,*,*,*,*,*,*,sip:start@emergency,,sip:,[*],<OwnDomain>,<OwnCidName>,<CallerCidEmgr>,<OwnDomain>,Cloud PBX Features,admin-only,911 features
yes,sip:adhoc.monitor.*@conference-bridge,*,*,*,*,*,*,sip:start@to-owned-device,,sip:,[*],conference-bridge,[*],[*],[*],Cloud PBX Features,admin-only,To Adhoc Bridges (audio monitoring)
