"name","domain","dial_match","mode","reason"
"US and Canada","*","*","permit","Permit All"
"US and Canada","*","sip:011*@*","deny","International Not Allowed"
"US and Canada","*","sip:011?@*","permit","Allow 4-digit beginning with 01"
"US and Canada","*","sip:1242???????@*","deny","Bahamas"
"US and Canada","*","sip:1246???????@*","deny","Barbados"
"US and Canada","*","sip:1264???????@*","deny","Anguilla"
"US and Canada","*","sip:1268???????@*","deny","Antigua and Barbuda"
"US and Canada","*","sip:1284???????@*","deny","British Virgin Islands"
"US and Canada","*","sip:1340???????@*","deny","US Virgin Islands"
"US and Canada","*","sip:1345???????@*","deny","Cayman Islands"
"US and Canada","*","sip:1441???????@*","deny","Bermuda"
"US and Canada","*","sip:1473???????@*","deny","Grenada"
"US and Canada","*","sip:1649???????@*","deny","Turks and Caicos"
"US and Canada","*","sip:1658???????@*","deny","Jamaica"
"US and Canada","*","sip:1664???????@*","deny","Montserrat"
"US and Canada","*","sip:1670???????@*","deny","Northern Mariana Islands"
"US and Canada","*","sip:1671???????@*","deny","Guam"
"US and Canada","*","sip:1684???????@*","deny","American Somoa"
"US and Canada","*","sip:1721???????@*","deny","Sint Maarten"
"US and Canada","*","sip:1758???????@*","deny","St Lucia"
"US and Canada","*","sip:1767???????@*","deny","Dominica"
"US and Canada","*","sip:1784???????@*","deny","St Vincent and the Grenadines"
"US and Canada","*","sip:1787???????@*","deny","Puerto Rico"
"US and Canada","*","sip:1809???????@*","deny","Dominican Republic"
"US and Canada","*","sip:1829???????@*","deny","Dominican Republic"
"US and Canada","*","sip:1849???????@*","deny","Dominican Republic"
"US and Canada","*","sip:1868???????@*","deny","Trinidad and Tobago"
"US and Canada","*","sip:1869???????@*","deny","St Kitts and Nevis"
"US and Canada","*","sip:1876???????@*","deny","Jamaica"
"US and Canada","*","sip:1900???????@*","deny","Deny all 900 numbers"
"US and Canada","*","sip:1939???????@*","deny","Puerto Rico All Country"
"International Light","*","*","<US and Canada>","Chain To US and Canada"
"International Light","*","sip:01130*@*","permit","Greece"
"International Light","*","sip:01131*@*","permit","Italy"
"International Light","*","sip:01133*@*","permit","France"
"International Light","*","sip:01134*@*","permit","Spain"
"International Light","*","sip:01135*@*","permit","Ireland"
"International Light","*","sip:011351*@*","permit","Portugal"
"International Light","*","sip:011352*@*","permit","Luxembourg"
"International Light","*","sip:011354*@*","permit","Iceland"
"International Light","*","sip:011357*@*","permit","Cyprus"
"International Light","*","sip:01136*@*","permit","Hungary"
"International Light","*","sip:01140*@*","permit","Romania"
"International Light","*","sip:01141*@*","permit","Switzerland"
"International Light","*","sip:011420*@*","permit","Czech Republic"
"International Light","*","sip:01144*@*","permit","UK"
"International Light","*","sip:01145*@*","permit","Denmark"
"International Light","*","sip:01146*@*","permit","Sweden"
"International Light","*","sip:01148*@*","permit","Poland"
"International Light","*","sip:01149*@*","permit","Germany"
"International Light","*","sip:01152*@*","permit","Mexico"
"International Light","*","sip:01154*@*","permit","Argentina"
"International Light","*","sip:01155*@*","permit","Brazil"
"International Light","*","sip:01156*@*","permit","Chile"
"International Light","*","sip:01160*@*","permit","Malaysia"
"International Light","*","sip:011601*@*","permit","Malaysia"
"International Light","*","sip:01161*@*","permit","Australia"
"International Light","*","sip:01164*@*","permit","New Zealand"
"International Light","*","sip:01165*@*","permit","Singapore"
"International Light","*","sip:01166*@*","permit","Thailand"
"International Light","*","sip:01181*@*","permit","Japan"
"International Light","*","sip:011821*@*","permit","South Korea"
"International Light","*","sip:011852*@*","permit","Hong Kong"
"International Light","*","sip:01186*@*","permit","China"
"International Light","*","sip:011880*@*","permit","Bangladesh"
"International Light","*","sip:011886*@*","permit","Taiwan"
"International Light","*","sip:01191*@*","permit","India"
"International Light","*","sip:011972*@*","permit","Israel"
"International Light","*","sip:1340???????@*","permit","US Virgin Islands"
"International Light","*","sip:1671???????@*","permit","Guam"
"International Light","*","sip:1787???????@*","permit","Puerto Rico"
"International Light","*","sip:1939???????@*","permit","Puerto Rico"
