"Server","Device Model #","Default Name","Default Value","Description"
"default","yealink","account.1.outbound_proxy.1.failback_subscribe.enable",1,"subscribe on failover"
"default","yealink","account.1.sip_server.1.failback_mode",2,"failover mode"
"default","yealink","account.2.sip_server.1.failback_mode",2,"failover mode"
"default","yealink","account.3.sip_server.1.failback_mode",2,"failover mode"
"default","yealink","account.4.sip_server.1.failback_mode",2,"failover mode"
"default","yealink","account.5.sip_server.1.failback_mode",2,"failover mode"
"default","yealink","account.6.sip_server.1.failback_mode",2,"failover mode"
"default","yealink","account.7.sip_server.1.failback_mode",2,"failover mode"
"default","yealink","account.8.sip_server.1.failback_mode",2,"failover mode"
"default","yealink","account.9.sip_server.1.failback_mode",2,"failover mode"
"default","yealink","account.10.sip_server.1.failback_mode",2,"failover mode"
"default","yealink","account.11.sip_server.1.failback_mode",2,"failover mode"
"default","yealink","account.12.sip_server.1.failback_mode",2,"failover mode"
"default","yealink","account.1.sip_server.1.only_signal_with_registered",1,"invites to registered node in failover"
"default","yealink","account.2.sip_server.1.only_signal_with_registered",1,"invites to registered node in failover"
"default","yealink","account.3.sip_server.1.only_signal_with_registered",1,"invites to registered node in failover"
"default","yealink","account.4.sip_server.1.only_signal_with_registered",1,"invites to registered node in failover"
"default","yealink","account.5.sip_server.1.only_signal_with_registered",1,"invites to registered node in failover"
"default","yealink","account.6.sip_server.1.only_signal_with_registered",1,"invites to registered node in failover"
"default","yealink","account.7.sip_server.1.only_signal_with_registered",1,"invites to registered node in failover"
"default","yealink","account.8.sip_server.1.only_signal_with_registered",1,"invites to registered node in failover"
"default","yealink","account.9.sip_server.1.only_signal_with_registered",1,"invites to registered node in failover"
"default","yealink","account.10.sip_server.1.only_signal_with_registered",1,"invites to registered node in failover"
"default","yealink","account.11.sip_server.1.only_signal_with_registered",1,"invites to registered node in failover"
"default","yealink","account.12.sip_server.1.only_signal_with_registered",1,"invites to registered node in failover"
"default","grandstream","P29095",1,"send invite and subscribe to registered server"
"default","grandstream","P29195",1,"send invite and subscribe to registered server"
"default","grandstream","P29295",1,"send invite and subscribe to registered server"
"default","grandstream","P29395",1,"send invite and subscribe to registered server"
"default","grandstream","P29495",1,"send invite and subscribe to registered server"
"default","grandstream","P29595",1,"send invite and subscribe to registered server"
"default","yealink","sip.trust_ctrl",1,"allow invites from proxy only"
"default","polycom","voIpProt.SIP.strictUserValidation",1,"allow invites from proxy only"
"default","grandstream","P1650",2,"disable web gui"
"default","grandstream","P2",7627,"web admin password"
"default","grandstream","P2397",0,"no options ping"
"default","grandstream","P2497",0,"no options ping"
"default","grandstream","P2597",0,"no options ping"
"default","grandstream","P2697",0,"no options ping"
"default","grandstream","P2797",0,"no options ping"
"default","grandstream","P2897",0,"no options ping"
"default","grandstream","P1815",1,"subscribe for MWI"
"default","grandstream","P99",1,"subscribe for MWI"
"default","grandstream","P415",1,"subscribe for MWI"
"default","grandstream","P515",1,"subscribe for MWI"
"default","grandstream","P615",1,"subscribe for MWI"
"default","grandstream","P1715",1,"subscribe for MWI"
"default","grandstream","P52",0,"disable nat traversal"
"default","grandstream","P414",0,"disable nat traversal"
"default","grandstream","P514",0,"disable nat traversal"
"default","grandstream","P614",0,"disable nat traversal"
"default","grandstream","P1714",0,"disable nat traversal"
"default","grandstream","P1814",0,"disable nat traversal"
"default","grandstream","P2329",0,"tls scheme"
"default","grandstream","P2429",0,"tls scheme"
"default","grandstream","P2529",0,"tls scheme"
"default","grandstream","P2629",0,"tls scheme"
"default","grandstream","P2729",0,"tls scheme"
"default","grandstream","P2829",0,"tls scheme"
"default","grandstream","P2347",1,"allow invites from proxy only"
"default","grandstream","P2447",1,"allow invites from proxy only"
"default","grandstream","P2547",1,"allow invites from proxy only"
"default","grandstream","P2647",1,"allow invites from proxy only"
"default","grandstream","P2747",1,"allow invites from proxy only"
"default","grandstream","P2847",1,"allow invites from proxy only"
"default","obihai","VoiceService.1.VoiceProfile.1.SIP.X_MWISubscribe","TRUE","subscribe for MWI"
"default","obihai","VoiceService.1.VoiceProfile.1.SIP.TimerF",5000,"failover timer in ms"
"default","obihai","VoiceService.1.VoiceProfile.1.SIP.X_UseRefer","TRUE","use refer for xfer"
"default","grandstream","P276",1,"disable SSH"
